Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,40,Gold vals: ['60'],Invalid value.,,Bot
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP,40,Gold vals: ['100'],Invalid value.,,Bot
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,40,Gold vals: ['60'],Invalid value.,,Bot
FP,2N4123-D,2N4124,30,Gold vals: ['25'],Invalid value.,,Bot
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,60,Gold vals: ['100'],Invalid value.,,Bot
FP,CSEMS05382-1,BC548B,45,Gold vals: ['30'],Invalid value.,,Bot
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,60,Gold vals: ['40'],Invalid value.,,Bot
FP,CSEMS05382-1,BC546B,30,Gold vals: ['65'],Invalid value.,,Bot
FN,DIODESINCORPORATED_ZXTP2008ZTA,ZXTP2008Z,30,Entities do not have doc DIODESINCORPORATED_ZXTP2008ZTA.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA65,30,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.,Missing doc.,,Bot
FN,BC546-D,BC547C,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC546B,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZTX688BSTZ,ZTX688B,12,Entities do not have doc DIODESINCORPORATED_ZTX688BSTZ.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXT690BKTC,ZXT690BK,45,Entities do not have doc DIODESINCORPORATED_ZXT690BKTC.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRPG,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,BC546-D,BC548BZL1G,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXT690BKTC,ZXT690BKQTC,45,Entities do not have doc DIODESINCORPORATED_ZXT690BKTC.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXTP2008ZTA,ZXTP2008ZTA,30,Entities do not have doc DIODESINCORPORATED_ZXTP2008ZTA.,Missing doc.,,Bot
FN,BC546-D,BC548,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547CG,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547CZL1G,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC546BG,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547ARL,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC548C,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_NSV12100UW3TCG,NSV12100UW3TCG,12,Entities do not have doc ONSEMICONDUCTOR_NSV12100UW3TCG.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUA,50,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,BC546-D,BC547BZL1G,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUATXV,50,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,BC546-D,BC546,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC546BRL1,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547A,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC548CG,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,DIODESINCORPORATED_2DD26527,2DD2652-7,12,Entities do not have doc DIODESINCORPORATED_2DD26527.,Missing doc.,,Bot
FN,SANKEN_2SC4886,2SC4886,150,Entities do not have doc SANKEN_2SC4886.,Missing doc.,,Bot
FN,SANKEN_STD01N,STD01N,150,Entities do not have doc SANKEN_STD01N.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRAG,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,STMICROELECTRONICS_STB13007DT4,STB13007DT4,400,Entities do not have doc STMICROELECTRONICS_STB13007DT4.,Missing doc.,,Bot
FN,DIODESINCORPORATED_2DD26527,2DD2652,12,Entities do not have doc DIODESINCORPORATED_2DD26527.,Missing doc.,,Bot
FN,STMICROELECTRONICS_STI130051,STI13005-1,400,Entities do not have doc STMICROELECTRONICS_STI130051.,Missing doc.,,Bot
FN,BC546-D,BC548BG,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92L,300,"Entity parts: {'MMBTA92LT1G': ['300', '200'], 'MMBTA93L': ['300', '200'], 'SMMBTA92LT3G': ['200', '300'], 'MMBTA93LT1G': ['200', '300'], 'MMBTA92LT3G': ['300', '200'], 'MMBTA92L': ['200', '300'], 'SMMBTA92LT1G': ['200', '300']}",Missing part.,,Bot
FN,BC546-D,BC546BRL1G,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA64,30,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.,Missing doc.,,Bot
FN,SANKEN_2SD2643,2SD2643,110,Entities do not have doc SANKEN_2SD2643.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXT690BKTC,ZXT690BKTC,45,Entities do not have doc DIODESINCORPORATED_ZXT690BKTC.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRP,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUATX,50,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12G,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,BC546-D,BC548B,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547BRL1G,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_NSV12100UW3TCG,NSS12100UW3TCG,12,Entities do not have doc ONSEMICONDUCTOR_NSV12100UW3TCG.,Missing doc.,,Bot
FN,SANKEN_STD01N,STD01P,150,Entities do not have doc SANKEN_STD01N.,Missing doc.,,Bot
FN,BC546-D,BC547,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA42,MPSA42,300,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA42.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA63,20,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.,Missing doc.,,Bot
FN,BC546-D,BC546BZL1G,65,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547AZL1G,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA42,MPSA43,200,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA42.,Missing doc.,,Bot
FN,ONSEMICONDUCTOR_MMBTA06WT1G,SMMBTA06W,80,"Entity parts: {'MMBTA06W': ['80'], 'SMMBTA06WT1G': ['80'], 'SMMBTA06WT3G': ['80'], 'MMBTA06WT1G': ['80']}",Missing part.,,Bot
FN,BC546-D,BC548BRL1G,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA62,20,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.,Missing doc.,,Bot
FN,BC546-D,BC548CZL1G,30,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N222AUA,50,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.,Missing doc.,,Bot
FN,BC546-D,BC547ARLG,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,BC546-D,BC547BG,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,160,Entity vals: ['140'],Missing value.,,Bot
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRA,20,Entities do not have doc ONSEMICONDUCTOR_MPSA12.,Missing doc.,,Bot
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA66,30,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.,Missing doc.,,Bot
FN,BC546-D,BC547B,45,Entities do not have doc BC546-D.,Missing doc.,,Bot
FN,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFH,160,Entity vals: ['140'],Missing value.,,Bot
